,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
31,Azerbaijan,Armenia,4.35,4.36,4.37599992752075
32,Azerbaijan,Georgia,4.297,4.252,4.28599977493286
33,Azerbaijan,Iran,4.686,4.813,4.69199991226196
34,Azerbaijan,Turkey,5.332000000000002,5.3889999999999985,5.5
35,Bosnia and Herzegovina,Croatia,5.759,5.488,5.2930002212524405
36,Bosnia and Herzegovina,Montenegro,5.192,5.1610000000000005,5.23699998855591
37,Bosnia and Herzegovina,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651
38,Bangladesh,India,4.565,4.404,4.31500005722046
39,Bangladesh,Myanmar,4.307,4.395,4.54500007629395
40,Belgium,France,6.575,6.478,6.44199991226196
41,Belgium,Germany,6.75,6.994,6.9510002136230495
42,Belgium,Luxembourg,6.9460000000000015,6.871,6.86299991607666
43,Belgium,Netherlands,7.377999999999999,7.338999999999999,7.3769998550415
44,Burkina Faso,Benin,3.34,3.484,3.65700006484985
45,Burkina Faso,Ghana,4.633,4.276,4.11999988555908
46,Burkina Faso,Mali,3.995,4.073,4.19000005722046
47,Burkina Faso,Niger,3.845,3.856,4.02799987792969
48,Burkina Faso,Togo,2.839,3.303,3.4949998855590803
49,Bulgaria,Greece,4.857,5.033,5.227000236511231
50,Bulgaria,Macedonia,5.007,5.121,5.1750001907348615
51,Bulgaria,Romania,5.124,5.528,5.824999809265139
52,Bulgaria,Serbia,5.122999999999998,5.1770000000000005,5.39499998092651
53,Bulgaria,Turkey,5.332000000000002,5.3889999999999985,5.5
54,Burundi,Togo,2.839,3.303,3.4949998855590803
55,Burundi,Rwanda,3.465,3.515,3.47099995613098
56,Burundi,Tanzania,3.781,3.666,3.34899997711182
57,Benin,Burkina Faso,3.587,3.739,4.03200006484985
58,Benin,Niger,3.845,3.856,4.02799987792969
59,Benin,Nigeria,5.268,4.875,5.07399988174438
60,Benin,Togo,2.839,3.303,3.4949998855590803
61,Brazil,Argentina,6.574,6.65,6.59899997711182
62,Brazil,Colombia,6.477,6.481,6.35699987411499
63,Brazil,Ghana,4.633,4.276,4.11999988555908
64,Brazil,Paraguay,5.877999999999999,5.5379999999999985,5.493000030517581
65,Brazil,Peru,5.824,5.7429999999999986,5.71500015258789
66,Brazil,Suriname,6.269,6.269,
67,Brazil,Uruguay,6.485,6.545,6.4539999961853
68,Brazil,Venezuela,6.81,6.084,5.25
69,Bhutan,China,5.14,5.245,5.2729997634887695
70,Bhutan,India,4.565,4.404,4.31500005722046
71,Botswana,Namibia,,4.574,4.57399988174438
72,Botswana,South Africa,4.642,4.459,4.8289999961853
73,Botswana,Zambia,5.129,4.795,4.513999938964839
74,Botswana,Zimbabwe,4.61,4.1930000000000005,3.875
75,Belarus,Latvia,5.098,5.56,5.849999904632571
76,Belarus,Lithuania,5.832999999999998,5.813,5.90199995040894
77,Belarus,Poland,5.791,5.835,5.97300004959106
78,Belarus,Ukraine,4.681,4.324,4.09600019454956
79,Belize,Guatemala,6.122999999999998,6.324,6.4539999961853
80,Belize,Mexico,7.187,6.778,6.57800006866455
81,Canada,United States,7.119,7.104,6.993000030517581
82,Togo,Angola,4.033,3.866,3.79500007629395
83,Togo,Burundi,2.905,2.905,2.90499997138977
